PERMNO,date,NAMEENDT,SHRCD,EXCHCD,SICCD,NCUSIP,TICKER,COMNAM,SHRCLS,TSYMBOL,NAICS,PRIMEXCH,TRDSTAT,SECSTAT,PERMCO,ISSUNO,HEXCD,HSICCD,CUSIP,DCLRDT,DLAMT,DLPDT,DLSTCD,NEXTDT,PAYDT,RCRDDT,SHRFLG,HSICMG,HSICIG,DISTCD,DIVAMT,FACPR,FACSHR,ACPERM,ACCOMP,SHRENDDT,NWPERM,DLRETX,DLPRC,DLRET,TRTSCD,NMSIND,MMCNT,NSDINX,BIDLO,ASKHI,PRC,VOL,RET,BID,ASK,SHROUT,CFACPR,CFACSHR,ALTPRC,SPREAD,ALTPRCDT,RETX,vwretd,vwretx,ewretd,ewretx,sprtrn
14593,31/08/2020,,11,3,3571,03783310,AAPL,APPLE INC,,AAPL,334220,Q,A,R,7,8,3,3571,03783310,30/07/2020,,,,,13/08/2020,10/08/2020,0,,,1232,0.82000,0.00000,0.00000,,,24/09/2020,,,,,1,6,65,1,129.03999,506.09000,129.03999,11844232,0.216309,128.78999,128.85001,17102536,1,1,129.03999,,31/08/2020,0.214380,0.068442,0.066798,0.038884,0.037315,0.070065
14593,30/09/2020,,11,3,3571,03783310,AAPL,APPLE INC,,AAPL,334220,Q,A,R,7,8,3,3571,03783310,,,,,,,,0,,,,,,,,,15/10/2020,,,,,1,6,66,1,106.84000,134.17999,115.81000,38816274,-0.102526,115.61000,115.64000,16976763,1,1,115.81000,,30/09/2020,-0.102526,-0.035056,-0.036515,-0.027356,-0.029264,-0.039228
14593,30/10/2020,,11,3,3571,03783310,AAPL,APPLE INC,,AAPL,334220,Q,A,R,7,8,3,3571,03783310,,,,,,,,0,,,,,,,,,23/12/2020,,,,,1,6,66,1,108.86000,124.40000,108.86000,28938282,-0.060012,108.89000,108.97000,17001802,1,1,108.86000,,30/10/2020,-0.060012,-0.020178,-0.021218,0.000584,-0.000483,-0.027666
14593,30/11/2020,,11,3,3571,03783310,AAPL,APPLE INC,,AAPL,334220,Q,A,R,7,8,3,3571,03783310,29/10/2020,,,,,12/11/2020,09/11/2020,0,,,1232,0.20500,0.00000,0.00000,,,,,,,,1,6,66,1,108.77000,120.30000,119.05000,21197000,0.095490,119.05000,119.07000,17001802,1,1,119.05000,,30/11/2020,0.093606,0.123707,0.122019,0.174412,0.172530,0.107546
14593,31/12/2020,,11,3,3571,03783310,AAPL,APPLE INC,,AAPL,334220,Q,A,R,7,8,3,3571,03783310,,,,,,,,0,,,,,,,,,14/01/2021,,,,,1,6,66,1,121.78000,136.69000,132.69000,23205317,0.114574,132.58000,132.61000,16823263,1,1,132.69000,,31/12/2020,0.114574,0.045048,0.043244,0.072853,0.069761,0.037121
14593,29/01/2021,,11,3,3571,03783310,AAPL,APPLE INC,,AAPL,334220,Q,A,R,7,8,3,3571,03783310,,,,,,,,0,,,,,,,,,25/03/2021,,,,,1,6,66,1,126.60000,143.16000,131.96001,22434811,-0.005502,131.80000,131.83000,16788096,1,1,131.96001,,29/01/2021,-0.005502,-0.000631,-0.001611,0.073192,0.072453,-0.011137
14593,26/02/2021,,11,3,3571,03783310,AAPL,APPLE INC,,AAPL,334220,Q,A,R,7,8,3,3571,03783310,27/01/2021,,,,,11/02/2021,08/02/2021,0,,,1232,0.20500,0.00000,0.00000,,,,,,,,1,6,66,1,120.99000,137.39000,121.26000,18332944,-0.079532,121.20000,121.28000,16788096,1,1,121.26000,,26/02/2021,-0.081085,0.029196,0.027888,0.067528,0.066370,0.026091
14593,31/03/2021,,11,3,3571,03783310,AAPL,APPLE INC,,AAPL,334220,Q,A,R,7,8,3,3571,03783310,,,,,,,,0,,,,,,,,,15/04/2021,,,,,1,6,64,1,116.36000,127.79000,122.15000,26489849,0.007340,122.17000,122.19000,16686305,1,1,122.15000,,31/03/2021,0.007340,0.030573,0.029086,0.012449,0.010736,0.042439
14593,30/04/2021,,11,3,3571,03783310,AAPL,APPLE INC,,AAPL,334220,Q,A,R,7,8,3,3571,03783310,,,,,,,,0,,,,,,,,,24/06/2021,,,,,1,6,63,1,123.00000,134.84000,131.46001,18888744,0.076218,131.50999,131.55000,16687631,1,1,131.46001,,30/04/2021,0.076218,0.048190,0.047301,0.016612,0.015805,0.052425
14593,28/05/2021,,11,3,3571,03783310,AAPL,APPLE INC,,AAPL,334220,Q,A,R,7,8,3,3571,03783310,28/04/2021,,,,,13/05/2021,10/05/2021,0,,,1232,0.22000,0.00000,0.00000,,,,,,,,1,6,62,1,122.77000,132.53999,124.61000,17116318,-0.050434,124.61000,124.63000,16687631,1,1,124.61000,,28/05/2021,-0.052107,0.007092,0.005786,0.013179,0.011995,0.005487
