GVKEY,datadate,fyear,indfmt,consol,popsrc,datafmt,curcd,act,aqc,at,capx,ceq,ebit,ebitda,epsfi,epsfx,epspi,epspx,fincf,ivncf,lct,lo,lt,ni,oancf,revt,seq,teq,xrd,costat
5439,2021-12-31,2021,INDL,C,D,STD,USD,9943.0000,0.0000,22321.0000,799.0000,6713.0000,1812.0000,2716.0000,1.6300,1.6300,1.6300,1.6300,-838.0000,-534.0000,4306.0000,1169.0000,15593.0000,1457.0000,1911.0000,15295.0000,6713.0000,6728.0000,321.0000,A
5439,2022-12-31,2022,INDL,C,D,STD,USD,10952.0000,0.0000,23255.0000,1011.0000,7948.0000,3073.0000,4013.0000,1.7300,1.7300,1.7400,1.7400,-1798.0000,-967.0000,5345.0000,1063.0000,15278.0000,1572.0000,2242.0000,20297.0000,7948.0000,7977.0000,345.0000,A
5439,2023-12-31,2023,INDL,C,D,STD,USD,11543.0000,0.0000,24683.0000,1379.0000,9391.0000,4134.0000,5132.0000,2.9200,2.9200,2.9300,2.9300,-1671.0000,-1659.0000,5608.0000,934.0000,15250.0000,2638.0000,3458.0000,23018.0000,9391.0000,9433.0000,408.0000,A
5457,2020-12-31,2020,INDL,C,D,STD,USD,,,,,,,,,,,,,,,,,,,,,,,A
5457,2021-12-31,2021,INDL,C,D,STD,USD,,,,,,,,,,,,,,,,,,,,,,,A
5457,2022-12-31,2022,INDL,C,D,STD,USD,,,,,,,,,,,,,,,,,,,,,,,A
5457,2023-12-31,2023,INDL,C,D,STD,USD,,,,,,,,,,,,,,,,,,,,,,,A
5492,2020-12-31,2020,INDL,C,D,STD,USD,6667.0000,0.0000,36960.0000,368.0000,20724.0000,2174.0000,3221.0000,5.1900,5.1900,5.2300,5.2400,-3112.0000,751.0000,4240.0000,3000.0000,16119.0000,1119.0000,2790.0000,18194.0000,20724.0000,20841.0000,684.0000,A
5492,2021-12-31,2021,INDL,C,D,STD,USD,6359.0000,0.0000,34709.0000,342.0000,19213.0000,2277.0000,3247.0000,9.0900,9.0900,9.1700,9.1700,-4413.0000,1394.0000,4551.0000,1679.0000,15390.0000,1846.0000,2687.0000,17814.0000,19213.0000,19319.0000,692.0000,A
5492,2022-12-31,2022,INDL,C,D,STD,USD,6754.0000,0.0000,33524.0000,252.0000,18523.0000,2051.0000,2998.0000,5.4900,5.4900,5.5400,5.5400,-1951.0000,-250.0000,5776.0000,1439.0000,14900.0000,1062.0000,2158.0000,17062.0000,18523.0000,18624.0000,603.0000,A
5492,2023-12-31,2023,INDL,C,D,STD,USD,8055.0000,6688.0000,41687.0000,449.0000,18829.0000,2170.0000,3336.0000,6.4400,6.4400,6.4700,6.4700,4594.0000,-7021.0000,8004.0000,2879.0000,22858.0000,1227.0000,2096.0000,19419.0000,18829.0000,18829.0000,,A
5496,2020-12-31,2020,INDL,C,D,STD,USD,815.8230,432.8550,2993.2870,120.2240,657.1540,80.8750,237.6400,-0.3300,-0.4100,-0.3300,-0.4100,486.9580,-520.6440,537.9550,360.2310,2279.8880,-26.3410,53.8180,1863.8640,657.1540,713.3990,3.2460,A
5496,2021-12-31,2021,INDL,C,D,STD,USD,874.9730,,3053.9080,158.3260,748.1600,84.6540,244.2880,-0.0400,0.2800,-0.0400,0.2800,60.2380,-124.4490,601.3910,178.9040,2248.1380,-3.2490,72.1970,1848.3990,748.1600,805.7700,0.9560,A
5496,2022-12-31,2022,INDL,C,D,STD,USD,767.7350,,2790.8540,137.1600,569.4420,66.9740,227.7940,-2.2700,-1.7300,-2.2700,-1.7300,-42.7850,-99.0610,597.2810,128.2210,2167.8120,-180.0690,150.5270,1889.0650,569.4420,623.0420,0.6900,A
5518,2020-12-31,2020,INDL,C,D,STD,USD,3846.6450,,10818.3850,125.7540,2896.6890,728.8500,993.8250,1.6200,1.6200,1.6200,1.6200,405.9490,-4500.2310,2403.3410,476.2160,7857.2220,222.5190,976.3400,5465.4430,2896.6890,2936.7370,259.5220,A
